epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,281.319,1.18805,0.74232,1.52345,0.98596,1,0.995,0.72152,1.0681,0.68791,1.53766,0.000924352,0.000924352,0.000924352
47,286.153,1.25357,0.7712,1.4425,0.98555,1,0.995,0.72634,1.1032,0.70968,1.54114,0.000907848,0.000907848,0.000907848
48,297.938,1.16167,0.70703,1.43221,0.99527,1,0.995,0.71229,0.99391,0.61107,1.49086,0.000891345,0.000891345,0.000891345
49,302.205,1.21387,0.72332,1.4242,0.98506,1,0.995,0.6438,1.14869,0.7433,1.61941,0.000874842,0.000874842,0.000874842
50,306.58,1.223,0.74964,1.43217,0.97211,0.96976,0.995,0.64341,1.20421,0.78282,1.68824,0.000858338,0.000858338,0.000858338
51,311.638,1.05509,0.66992,1.34065,0.98039,1,0.995,0.65784,1.1512,0.70794,1.62698,0.000841835,0.000841835,0.000841835
52,316.736,1.29967,0.74048,1.50421,0.99424,1,0.995,0.65028,1.2101,0.69339,1.64217,0.000825332,0.000825332,0.000825332
53,321.062,1.20146,0.69049,1.45006,0.99543,1,0.995,0.70892,1.0634,0.65333,1.51826,0.000808828,0.000808828,0.000808828
54,325.467,1.21244,0.72144,1.4317,0.99161,1,0.995,0.63654,1.22384,0.68711,1.61934,0.000792325,0.000792325,0.000792325
55,330.543,1.32387,0.86008,1.68836,0.98792,1,0.995,0.62734,1.26139,0.73592,1.64886,0.000775822,0.000775822,0.000775822
56,336.425,1.11472,0.72446,1.40168,0.99267,1,0.995,0.7113,1.01685,0.61514,1.48514,0.000759318,0.000759318,0.000759318
57,342.16,1.17269,0.68684,1.43642,0.99086,1,0.995,0.72054,1.01351,0.57578,1.46014,0.000742815,0.000742815,0.000742815
58,346.932,1.17072,0.67457,1.40839,0.99531,1,0.995,0.73838,1.00384,0.56166,1.43436,0.000726312,0.000726312,0.000726312
59,356.445,1.12268,0.66397,1.33722,0.99628,1,0.995,0.74849,0.9505,0.55219,1.39235,0.000709809,0.000709809,0.000709809
60,361.225,1.17204,0.68205,1.49289,0.99427,1,0.995,0.71942,1.0408,0.60534,1.44452,0.000693305,0.000693305,0.000693305
61,366.707,1.11674,0.66047,1.43052,0.99123,1,0.995,0.71978,0.98529,0.5664,1.43597,0.000676802,0.000676802,0.000676802
62,371.639,1.21904,0.68599,1.55341,0.99304,1,0.995,0.68524,1.1448,0.55998,1.56641,0.000660299,0.000660299,0.000660299
63,375.982,1.10718,0.62147,1.39295,0.99488,1,0.995,0.72528,0.96633,0.51445,1.41622,0.000643795,0.000643795,0.000643795
64,381.405,1.11657,0.62959,1.38146,0.9969,1,0.995,0.7159,1.0152,0.56,1.43562,0.000627292,0.000627292,0.000627292
65,386.894,1.09897,0.70683,1.50141,0.99531,1,0.995,0.71627,0.99632,0.5546,1.42186,0.000610789,0.000610789,0.000610789
66,391.249,1.14625,0.63054,1.39868,0.99711,1,0.995,0.70761,1.06727,0.58433,1.46281,0.000594286,0.000594286,0.000594286
67,395.605,1.15913,0.63196,1.3892,0.99423,1,0.995,0.72549,1.00719,0.53493,1.44312,0.000577782,0.000577782,0.000577782
68,400.55,1.12104,0.64,1.416,0.99315,1,0.995,0.72066,1.07109,0.5282,1.48098,0.000561279,0.000561279,0.000561279
69,405.607,1.14494,0.63626,1.47792,0.99282,1,0.995,0.72473,1.01951,0.52602,1.44875,0.000544776,0.000544776,0.000544776
70,409.948,1.02341,0.581,1.28942,0.99634,1,0.995,0.71423,1.01002,0.51565,1.44019,0.000528272,0.000528272,0.000528272
71,414.363,1.12778,0.58616,1.37825,0.99506,1,0.995,0.7243,0.96943,0.51936,1.40975,0.000511769,0.000511769,0.000511769
72,419.591,1.09756,0.63315,1.40335,0.99562,1,0.995,0.74396,0.92706,0.53181,1.38108,0.000495266,0.000495266,0.000495266
73,424.431,1.06561,0.60207,1.30283,0.99717,1,0.995,0.724,0.97323,0.51201,1.42172,0.000478762,0.000478762,0.000478762
74,428.715,1.11854,0.58737,1.37911,0.99536,1,0.995,0.72413,0.97326,0.50974,1.41718,0.000462259,0.000462259,0.000462259
75,433.29,1.11387,0.62176,1.41765,0.99696,1,0.995,0.731,0.96209,0.51624,1.39654,0.000445756,0.000445756,0.000445756
76,438.62,1.06205,0.60063,1.33857,0.99742,1,0.995,0.72902,0.93388,0.49207,1.38858,0.000429253,0.000429253,0.000429253
77,443.37,1.12723,0.60725,1.39638,0.99669,1,0.995,0.72543,0.97572,0.50787,1.40795,0.000412749,0.000412749,0.000412749
