epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,317.451,0.27799,0.22917,0.80839,0.99774,1,0.995,0.98184,0.19596,0.18594,0.78232,0.000973861,0.000973861,0.000973861
44,327.061,0.31381,0.24144,0.80901,0.99808,1,0.995,0.98155,0.19864,0.19572,0.77784,0.000957358,0.000957358,0.000957358
45,333.899,0.2964,0.24263,0.8342,0.99802,1,0.995,0.98969,0.18719,0.18802,0.77743,0.000940855,0.000940855,0.000940855
46,338.392,0.29296,0.23709,0.81025,0.99736,1,0.995,0.98266,0.22263,0.20291,0.77968,0.000924352,0.000924352,0.000924352
47,343.007,0.28945,0.2323,0.80293,0.99731,1,0.995,0.98954,0.19421,0.19533,0.77662,0.000907848,0.000907848,0.000907848
48,348.367,0.29942,0.23539,0.81944,0.99736,1,0.995,0.98972,0.20457,0.19427,0.78205,0.000891345,0.000891345,0.000891345
49,355.914,0.30833,0.24105,0.81724,0.99761,1,0.995,0.99087,0.20443,0.18831,0.78037,0.000874842,0.000874842,0.000874842
50,366.266,0.28199,0.22705,0.8141,0.99776,1,0.995,0.99357,0.17672,0.19031,0.77551,0.000858338,0.000858338,0.000858338
51,370.758,0.27784,0.22157,0.81772,0.9977,1,0.995,0.995,0.17905,0.17454,0.77639,0.000841835,0.000841835,0.000841835
52,375.884,0.27218,0.23474,0.82366,0.99776,1,0.995,0.995,0.19083,0.18765,0.77973,0.000825332,0.000825332,0.000825332
53,386.868,0.29521,0.23358,0.82652,0.9977,1,0.995,0.995,0.17241,0.1816,0.77882,0.000808828,0.000808828,0.000808828
54,392.235,0.2854,0.22876,0.81733,0.99738,1,0.995,0.99123,0.19618,0.18774,0.78018,0.000792325,0.000792325,0.000792325
55,402.275,0.31226,0.23359,0.8273,0.99736,1,0.995,0.99356,0.21384,0.19893,0.78331,0.000775822,0.000775822,0.000775822
56,407.199,0.25392,0.2088,0.81148,0.99736,1,0.995,0.99352,0.16604,0.16375,0.77312,0.000759318,0.000759318,0.000759318
57,413.275,0.27374,0.21593,0.81522,0.99766,1,0.995,0.99006,0.17853,0.16464,0.77536,0.000742815,0.000742815,0.000742815
58,419.42,0.27951,0.22126,0.81488,0.99762,1,0.995,0.99105,0.19108,0.17882,0.77861,0.000726312,0.000726312,0.000726312
