epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,258.005,0.28221,0.22568,0.8056,0.99879,1,0.995,0.98623,0.233,0.19777,0.78632,0.000957358,0.000957358,0.000957358
45,262.43,0.26429,0.22028,0.81916,0.99886,1,0.995,0.99,0.21179,0.18797,0.78264,0.000940855,0.000940855,0.000940855
46,267.706,0.26354,0.20964,0.80177,0.99875,1,0.995,0.98426,0.22286,0.18525,0.78325,0.000924352,0.000924352,0.000924352
47,273.079,0.28193,0.22008,0.82204,0.99885,1,0.995,0.97374,0.23425,0.18572,0.78381,0.000907848,0.000907848,0.000907848
48,278.025,0.26259,0.21107,0.80058,0.99856,1,0.995,0.9793,0.21909,0.18804,0.78141,0.000891345,0.000891345,0.000891345
49,282.842,0.28596,0.21423,0.81767,0.99834,1,0.995,0.97897,0.24256,0.18435,0.78493,0.000874842,0.000874842,0.000874842
50,288.574,0.27912,0.22417,0.81396,0.99866,1,0.995,0.98391,0.23012,0.19317,0.78296,0.000858338,0.000858338,0.000858338
51,294.464,0.29269,0.21565,0.81541,0.9988,1,0.995,0.98671,0.21538,0.1843,0.78147,0.000841835,0.000841835,0.000841835
52,299.1,0.27844,0.22179,0.81827,0.99859,1,0.995,0.98009,0.24513,0.18859,0.78561,0.000825332,0.000825332,0.000825332
53,303.647,0.27642,0.21505,0.79726,0.99857,1,0.995,0.98435,0.24862,0.19161,0.78755,0.000808828,0.000808828,0.000808828
54,308.849,0.26791,0.2144,0.80883,0.99927,1,0.995,0.98815,0.21409,0.18681,0.7813,0.000792325,0.000792325,0.000792325
55,314.017,0.26608,0.20769,0.8034,0.99932,1,0.995,0.98477,0.23366,0.18943,0.78437,0.000775822,0.000775822,0.000775822
56,318.828,0.27779,0.21572,0.81043,0.99925,1,0.995,0.99006,0.19879,0.17223,0.77822,0.000759318,0.000759318,0.000759318
57,323.551,0.27729,0.20938,0.80241,0.99922,1,0.995,0.98769,0.19746,0.17185,0.77816,0.000742815,0.000742815,0.000742815
58,329.148,0.26411,0.20392,0.80604,0.9992,1,0.995,0.98335,0.25512,0.19034,0.786,0.000726312,0.000726312,0.000726312
59,333.805,0.28017,0.20785,0.81094,0.99864,1,0.995,0.98987,0.20022,0.16865,0.77815,0.000709809,0.000709809,0.000709809
60,339.072,0.27938,0.20909,0.80618,0.99875,1,0.995,0.9893,0.19534,0.17257,0.77785,0.000693305,0.000693305,0.000693305
61,344.37,0.2454,0.19711,0.79644,0.99878,1,0.995,0.97083,0.25468,0.18679,0.78655,0.000676802,0.000676802,0.000676802
62,349.51,0.25328,0.19627,0.81222,0.99883,1,0.995,0.98492,0.20467,0.16531,0.77838,0.000660299,0.000660299,0.000660299
63,354.032,0.2506,0.19355,0.80782,0.99871,1,0.995,0.98591,0.20865,0.16449,0.77953,0.000643795,0.000643795,0.000643795
64,358.848,0.25473,0.19405,0.7999,0.99863,1,0.995,0.98267,0.21554,0.16592,0.7796,0.000627292,0.000627292,0.000627292
65,364.079,0.23877,0.18486,0.81042,0.9987,1,0.995,0.9851,0.21631,0.16586,0.77939,0.000610789,0.000610789,0.000610789
66,368.761,0.22325,0.18061,0.7872,0.99888,1,0.995,0.99177,0.21302,0.15762,0.77838,0.000594286,0.000594286,0.000594286
67,379.446,0.22003,0.1778,0.79573,0.99891,1,0.995,0.98847,0.21694,0.16463,0.78061,0.000577782,0.000577782,0.000577782
68,384.631,0.24664,0.19008,0.815,0.99876,1,0.995,0.98337,0.22015,0.16736,0.7817,0.000561279,0.000561279,0.000561279
69,394.599,0.2445,0.19156,0.80193,0.99876,1,0.995,0.98941,0.20187,0.15958,0.77878,0.000544776,0.000544776,0.000544776
70,400.01,0.24926,0.18847,0.78389,0.99861,1,0.995,0.98157,0.2365,0.17128,0.78287,0.000528272,0.000528272,0.000528272
71,404.538,0.23776,0.18687,0.79513,0.99854,1,0.995,0.98402,0.22599,0.17045,0.78192,0.000511769,0.000511769,0.000511769
72,409.844,0.2427,0.19031,0.80692,0.99862,1,0.995,0.99325,0.20055,0.16494,0.77845,0.000495266,0.000495266,0.000495266
73,415.907,0.25002,0.19307,0.80216,0.99866,1,0.995,0.98987,0.19663,0.1574,0.77804,0.000478762,0.000478762,0.000478762
74,420.937,0.23998,0.1859,0.80255,0.99879,1,0.995,0.98112,0.23521,0.16123,0.78322,0.000462259,0.000462259,0.000462259
75,425.727,0.24309,0.18183,0.80016,0.99886,1,0.995,0.98701,0.21684,0.15833,0.7795,0.000445756,0.000445756,0.000445756
76,430.616,0.24687,0.19399,0.81407,0.99879,1,0.995,0.98999,0.17596,0.1506,0.77389,0.000429253,0.000429253,0.000429253
77,436.715,0.24117,0.18565,0.798,0.99873,1,0.995,0.98975,0.18979,0.16011,0.7757,0.000412749,0.000412749,0.000412749
78,447.022,0.23447,0.18789,0.81646,0.9988,1,0.995,0.97957,0.20154,0.15123,0.77841,0.000396246,0.000396246,0.000396246
79,452.32,0.21495,0.16903,0.79112,0.99889,1,0.995,0.9873,0.18829,0.14804,0.77653,0.000379743,0.000379743,0.000379743
80,457.831,0.21655,0.17516,0.80294,0.99883,1,0.995,0.98703,0.19059,0.14255,0.77562,0.000363239,0.000363239,0.000363239
81,462.615,0.22921,0.17487,0.78976,0.99884,1,0.995,0.98668,0.21423,0.14759,0.77845,0.000346736,0.000346736,0.000346736
82,468.311,0.22672,0.171,0.7928,0.99878,1,0.995,0.9884,0.22299,0.15405,0.77936,0.000330233,0.000330233,0.000330233
83,473.955,0.20986,0.17005,0.81071,0.9987,1,0.995,0.99339,0.18774,0.13994,0.77501,0.000313729,0.000313729,0.000313729
