                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3098,                0.99378,                 1.6035,                0.98739,                      1,                  0.995,                0.57794,                 1.3274,                0.87768,                  1.738,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.2765,                0.87246,                 1.4968,                0.98851,                      1,                  0.995,                0.64751,                 1.1563,                0.80805,                 1.6106,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.4629,                0.91353,                 1.7005,                0.99544,                      1,                  0.995,                0.66127,                 1.1806,                0.75015,                 1.5814,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2394,                0.82476,                 1.4691,                0.98868,                      1,                  0.995,                0.66396,                 1.0698,                0.69079,                 1.5493,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2421,                0.79073,                 1.4036,                0.95497,                      1,                  0.995,                0.70829,                 1.0909,                0.88954,                  1.577,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.3015,                0.98637,                 1.5889,                 0.9851,                      1,                  0.995,                0.74167,                0.94956,                0.69213,                 1.4384,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2816,                0.81502,                 1.5668,                0.99555,                      1,                  0.995,                0.73531,                0.97659,                0.67068,                 1.4538,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2492,                0.77611,                 1.5146,                0.91333,                0.96148,                  0.995,                 0.6912,                 1.1339,                0.91476,                  1.573,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.3224,                0.77888,                 1.4796,                0.99083,                      1,                  0.995,                0.68312,                 1.1082,                 1.4322,                 1.5646,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2579,                0.95133,                 1.5825,                0.99592,                      1,                  0.995,                0.71228,                 1.0171,                0.87272,                  1.478,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.1562,                0.86708,                 1.4399,                0.99452,                      1,                  0.995,                0.68453,                 1.1077,                 0.8153,                 1.5082,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.1393,                0.87427,                 1.4695,                0.99008,                      1,                  0.995,                0.67434,                 1.0851,                0.69371,                 1.5394,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.1737,                0.82966,                 1.4609,                0.99356,                      1,                  0.995,                0.74835,                0.99943,                0.62051,                 1.4508,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.1763,                0.73358,                 1.3931,                0.99269,                      1,                  0.995,                0.71885,                 1.0246,                0.60824,                 1.4456,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.2463,                0.80067,                 1.4492,                0.99173,                      1,                  0.995,                0.70709,                 1.1275,                 0.8215,                 1.5518,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.3125,                0.86913,                 1.6096,                0.97912,                      1,                  0.995,                0.69841,                  1.112,                0.98651,                 1.5374,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.1643,                0.78564,                 1.3845,                 0.9952,                      1,                  0.995,                0.67793,                 1.1045,                0.63896,                 1.5137,             0.00082533,             0.00082533,             0.00082533
                     53,                   1.16,                0.74279,                 1.4211,                0.98899,                      1,                  0.995,                0.66838,                 1.0753,                0.62861,                 1.5177,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0921,                0.72882,                 1.3863,                0.98971,                      1,                  0.995,                0.68965,                 1.0127,                0.60322,                 1.4785,             0.00079233,             0.00079233,             0.00079233
