epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5673,1.05742,2.94375,1.05734,0.91947,0.39583,0.45088,0.42473,0.32172,3.06862,0.85458,8.335e-05,8.335e-05,8.335e-05
2,17.3045,0.95298,3.07274,1.02176,0.98947,0.48404,0.50326,0.44218,0.37997,7.25103,0.8376,0.000181555,0.000181555,0.000181555
3,28.6155,0.54768,1.35355,0.87347,0.53473,0.58333,0.57146,0.55029,0.30889,17.501,0.7978,0.000277779,0.000277779,0.000277779
4,33.7554,0.50245,0.7096,0.84454,0.99748,0.9665,0.97066,0.9336,0.28038,2.20459,0.7695,0.000372023,0.000372023,0.000372023
5,39.5947,0.43737,0.54271,0.86139,0.51673,1,0.52092,0.50943,0.28035,23.0966,0.76673,0.000464286,0.000464286,0.000464286
6,44.4351,0.45003,0.64801,0.86553,0.28765,0.51042,0.42108,0.37595,0.41295,18.5318,0.80722,0.000554569,0.000554569,0.000554569
7,48.8352,0.49183,0.52127,0.87469,0.43937,0.95833,0.56366,0.42653,0.98909,11.6332,1.3834,0.000642872,0.000642872,0.000642872
8,53.5867,0.41366,0.48399,0.84965,0.0015,0.11458,0.00097,0.00018,4.32101,inf,12.6496,0.000729194,0.000729194,0.000729194
9,59.0665,0.38563,0.39032,0.85485,0.0039,0.44792,0.00421,0.00217,2.40855,inf,5.00067,0.000813536,0.000813536,0.000813536
10,63.6904,0.37142,0.36893,0.83617,0.18261,0.32292,0.23129,0.14938,1.03452,6.10377,1.30257,0.000895897,0.000895897,0.000895897
11,68.4854,0.40573,0.39599,0.84659,0.88722,0.27083,0.28345,0.19839,1.35171,3.64625,2.48212,0.000976279,0.000976279,0.000976279
12,73.3212,0.42456,0.39207,0.85296,0.64815,0.16667,0.12123,0.05426,1.46999,17.2755,2.11503,0.00105468,0.00105468,0.00105468
13,78.3346,0.41196,0.36639,0.85549,0.70515,0.47354,0.47943,0.35375,0.74117,4.0405,1.06896,0.0011311,0.0011311,0.0011311
14,82.8069,0.37913,0.35627,0.82814,0.71917,0.51619,0.53052,0.47238,0.73097,1.99565,1.189,0.00120554,0.00120554,0.00120554
15,87.4449,0.37679,0.3398,0.84297,0.89163,0.64935,0.79017,0.71369,0.51219,1.08515,0.92524,0.001278,0.001278,0.001278
16,92.7946,0.37794,0.3353,0.8292,0.99733,0.97917,0.98806,0.96113,0.30735,0.38163,0.79552,0.00134848,0.00134848,0.00134848
17,101.972,0.40203,0.34256,0.84167,0.99735,1,0.995,0.95283,0.31274,0.3691,0.79339,0.00140295,0.00140295,0.00140295
18,106.693,0.39235,0.33746,0.85109,0.99565,1,0.995,0.94364,0.30552,0.39372,0.79098,0.00138644,0.00138644,0.00138644
19,112.009,0.37872,0.32297,0.814,0.98156,0.98958,0.99274,0.94766,0.30884,0.37457,0.79542,0.00136994,0.00136994,0.00136994
20,116.603,0.36872,0.32453,0.83725,0.96646,0.91791,0.98439,0.95619,0.27562,0.48723,0.78792,0.00135344,0.00135344,0.00135344
21,121.387,0.36397,0.31252,0.84302,0.99028,0.98958,0.98547,0.93798,0.3295,0.34374,0.7971,0.00133693,0.00133693,0.00133693
22,126.381,0.35395,0.31504,0.84059,0.992,1,0.995,0.96941,0.26323,0.27377,0.77623,0.00132043,0.00132043,0.00132043
23,132.054,0.35096,0.30646,0.82057,0.99807,1,0.995,0.97183,0.27089,0.28248,0.77628,0.00130393,0.00130393,0.00130393
24,140.69,0.34311,0.29338,0.83624,0.99722,1,0.995,0.97558,0.26467,0.25986,0.77751,0.00128742,0.00128742,0.00128742
25,146.64,0.31933,0.2988,0.83486,0.99627,1,0.995,0.98524,0.2437,0.24697,0.7755,0.00127092,0.00127092,0.00127092
26,152.793,0.33031,0.30117,0.83401,0.99443,1,0.995,0.96758,0.28473,0.30167,0.78208,0.00125442,0.00125442,0.00125442
27,157.972,0.32742,0.30528,0.82032,0.99016,0.99747,0.995,0.96695,0.26053,0.31441,0.77622,0.00123791,0.00123791,0.00123791
28,162.482,0.32111,0.2933,0.8043,0.99873,1,0.995,0.97502,0.2872,0.25051,0.78826,0.00122141,0.00122141,0.00122141
29,167.799,0.33372,0.30327,0.83057,0.99811,1,0.995,0.9888,0.24271,0.2424,0.77828,0.00120491,0.00120491,0.00120491
30,177.991,0.31551,0.29658,0.82528,0.99868,1,0.995,0.98203,0.26292,0.25353,0.77496,0.0011884,0.0011884,0.0011884
31,182.87,0.28664,0.27391,0.8083,0.99794,1,0.995,0.98942,0.23244,0.2385,0.7711,0.0011719,0.0011719,0.0011719
32,188.763,0.29321,0.27189,0.83034,0.99846,1,0.995,0.98886,0.22546,0.23212,0.77304,0.0011554,0.0011554,0.0011554
33,193.329,0.30865,0.27254,0.82532,0.9985,1,0.995,0.98414,0.25397,0.23216,0.77731,0.00113889,0.00113889,0.00113889
34,198.254,0.2929,0.26941,0.82998,0.99813,1,0.995,0.99077,0.19023,0.21317,0.76296,0.00112239,0.00112239,0.00112239
35,204.218,0.30152,0.27294,0.81977,0.99782,1,0.995,0.98644,0.22989,0.21906,0.77054,0.00110589,0.00110589,0.00110589
36,208.959,0.28216,0.24938,0.81317,0.99852,1,0.995,0.98667,0.21887,0.19983,0.77292,0.00108938,0.00108938,0.00108938
37,213.389,0.2848,0.2487,0.81329,0.99874,1,0.995,0.98609,0.21593,0.21082,0.77032,0.00107288,0.00107288,0.00107288
38,218.462,0.29917,0.26167,0.80584,0.99844,1,0.995,0.97493,0.23411,0.22218,0.77125,0.00105638,0.00105638,0.00105638
39,223.468,0.30963,0.24201,0.82981,0.99852,1,0.995,0.98903,0.21105,0.22199,0.76818,0.00103987,0.00103987,0.00103987
40,227.912,0.29707,0.24449,0.8216,0.99881,1,0.995,0.98802,0.22156,0.2108,0.77106,0.00102337,0.00102337,0.00102337
41,232.392,0.27531,0.2458,0.81626,0.99884,1,0.995,0.98674,0.21526,0.19915,0.76764,0.00100687,0.00100687,0.00100687
42,237.636,0.2785,0.23701,0.81889,0.99866,1,0.995,0.99062,0.18496,0.18902,0.76273,0.000990365,0.000990365,0.000990365
43,242.862,0.25746,0.22805,0.80984,0.9988,1,0.995,0.98406,0.2248,0.20028,0.76892,0.000973861,0.000973861,0.000973861
44,247.247,0.27488,0.23122,0.8177,0.99867,1,0.995,0.99232,0.1689,0.17772,0.75912,0.000957358,0.000957358,0.000957358
45,252.874,0.25486,0.21906,0.80636,0.99861,1,0.995,0.99074,0.19034,0.18064,0.76219,0.000940855,0.000940855,0.000940855
46,258.31,0.25502,0.22118,0.80518,0.99878,1,0.995,0.99268,0.18234,0.17825,0.76055,0.000924352,0.000924352,0.000924352
47,263.218,0.26037,0.22195,0.81678,1,1,0.995,0.99444,0.16042,0.17212,0.75703,0.000907848,0.000907848,0.000907848
48,268.38,0.23722,0.21046,0.80376,0.9986,1,0.995,0.99326,0.17619,0.17379,0.75921,0.000891345,0.000891345,0.000891345
49,273.529,0.25702,0.20972,0.80924,0.99869,1,0.995,0.99391,0.16627,0.17185,0.75916,0.000874842,0.000874842,0.000874842
50,278.571,0.25365,0.21333,0.81677,0.99885,1,0.995,0.99033,0.19406,0.1707,0.76216,0.000858338,0.000858338,0.000858338
51,283.013,0.25806,0.20982,0.79909,0.99885,1,0.995,0.98898,0.18838,0.16613,0.76254,0.000841835,0.000841835,0.000841835
52,287.622,0.25798,0.21005,0.80242,0.9989,1,0.995,0.98798,0.20382,0.17423,0.76367,0.000825332,0.000825332,0.000825332
53,292.978,0.24153,0.19878,0.79984,0.99889,1,0.995,0.99192,0.17467,0.16953,0.75691,0.000808828,0.000808828,0.000808828
54,297.907,0.26381,0.21083,0.82595,0.9989,1,0.995,0.98907,0.20693,0.18028,0.76152,0.000792325,0.000792325,0.000792325
55,302.284,0.25596,0.20075,0.8026,0.99886,1,0.995,0.98865,0.20045,0.17377,0.7623,0.000775822,0.000775822,0.000775822
56,307.862,0.24465,0.20046,0.81662,0.99866,1,0.995,0.99241,0.17953,0.1644,0.75967,0.000759318,0.000759318,0.000759318
57,313.002,0.26106,0.20702,0.80052,0.99869,1,0.995,0.98564,0.21666,0.18043,0.76334,0.000742815,0.000742815,0.000742815
58,317.37,0.24077,0.19972,0.80442,0.99875,1,0.995,0.995,0.16205,0.16031,0.75691,0.000726312,0.000726312,0.000726312
59,322.874,0.25269,0.20607,0.8199,0.99872,1,0.995,0.99447,0.16246,0.16297,0.75656,0.000709809,0.000709809,0.000709809
60,328.333,0.2468,0.19884,0.81539,0.99875,1,0.995,0.99134,0.21261,0.17306,0.76565,0.000693305,0.000693305,0.000693305
61,333.586,0.24741,0.20468,0.81003,0.99885,1,0.995,0.98826,0.17441,0.16406,0.759,0.000676802,0.000676802,0.000676802
62,339.149,0.24414,0.19034,0.80501,0.99889,1,0.995,0.99194,0.19128,0.16742,0.76288,0.000660299,0.000660299,0.000660299
63,344.264,0.24268,0.18901,0.8058,0.99888,1,0.995,0.98537,0.24737,0.17886,0.76937,0.000643795,0.000643795,0.000643795
64,349.507,0.27004,0.1987,0.80593,0.99889,1,0.995,0.98978,0.1723,0.16444,0.75714,0.000627292,0.000627292,0.000627292
65,353.866,0.23669,0.19743,0.80361,0.99887,1,0.995,0.99119,0.16125,0.16047,0.75568,0.000610789,0.000610789,0.000610789
66,359.32,0.23259,0.18925,0.8145,0.99889,1,0.995,0.98813,0.20053,0.1591,0.76275,0.000594286,0.000594286,0.000594286
67,364.725,0.21851,0.18025,0.79254,0.99881,1,0.995,0.98919,0.18062,0.15904,0.76092,0.000577782,0.000577782,0.000577782
68,369.491,0.24314,0.18855,0.80439,0.99853,1,0.995,0.99381,0.16497,0.14407,0.7562,0.000561279,0.000561279,0.000561279
69,375.327,0.21598,0.18925,0.80914,0.99866,1,0.995,0.99343,0.16989,0.1463,0.75564,0.000544776,0.000544776,0.000544776
70,380.169,0.23032,0.18381,0.81453,0.99883,1,0.995,0.99312,0.16924,0.14741,0.75701,0.000528272,0.000528272,0.000528272
