epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2271,1.3691,4.46781,1.17811,0.96817,0.46005,0.48491,0.48137,0.29577,3.17077,0.83638,8.335e-05,8.335e-05,8.335e-05
2,15.209,1.29213,4.63397,1.12957,0.97026,0.49437,0.49221,0.48862,0.27893,20.6738,0.80177,0.000181555,0.000181555,0.000181555
3,27.4903,0.96812,5.33745,1.02089,0.97026,0.49437,0.49221,0.48862,2.02952,13.4756,1.57413,0.000277779,0.000277779,0.000277779
4,38.3905,0.62639,2.06968,0.88657,0.97026,0.49437,0.49221,0.48862,1.82729,7.12826,1.34134,0.000372023,0.000372023,0.000372023
5,48.7649,0.55554,1.56094,0.89659,0.00071,0.15625,0.00044,0.0003,1.23164,4.60537,1.13333,0.000464286,0.000464286,0.000464286
6,53.9442,0.5793,1.09167,0.90854,0.83023,0.61329,0.67072,0.60676,0.41121,2.78567,0.81325,0.000554569,0.000554569,0.000554569
7,64.3286,0.5164,0.78287,0.87087,0.91814,0.875,0.94817,0.84796,0.4522,4.06228,0.82786,0.000642872,0.000642872,0.000642872
8,70.4414,0.57472,0.80608,0.91841,0.53824,0.71875,0.57353,0.52556,0.54542,4.14438,0.88306,0.000729194,0.000729194,0.000729194
9,75.6098,0.50404,0.54061,0.9104,0.62296,1,0.995,0.90769,0.48445,3.08572,0.85853,0.000813536,0.000813536,0.000813536
10,85.7354,0.47349,0.46942,0.88431,0.88307,0.93901,0.995,0.89889,0.46665,1.46829,0.83991,0.000895897,0.000895897,0.000895897
11,95.8158,0.5366,0.54146,0.90167,0.95274,0.99906,0.995,0.91513,0.47329,0.55849,0.83175,0.000976279,0.000976279,0.000976279
12,106.217,0.47221,0.60849,0.88113,0.91627,1,0.995,0.91185,0.51484,0.83867,0.85232,0.00105468,0.00105468,0.00105468
13,110.98,0.49192,0.50174,0.86674,0.9331,0.92733,0.96165,0.82081,0.66671,0.99378,1.00754,0.0011311,0.0011311,0.0011311
14,120.48,0.45347,0.4577,0.84126,0.67972,0.64966,0.64896,0.50083,0.78997,1.69055,1.11397,0.00120554,0.00120554,0.00120554
15,126.75,0.51314,0.50102,0.90566,0.65975,0.84375,0.91915,0.71512,0.73455,1.30507,1.02174,0.001278,0.001278,0.001278
16,132.452,0.45496,0.40865,0.84924,0.98701,0.93152,0.98713,0.90903,0.43921,0.50028,0.81548,0.00134848,0.00134848,0.00134848
17,137.173,0.47385,0.50289,0.86671,0.98515,1,0.995,0.90196,0.47114,0.5134,0.83765,0.00140295,0.00140295,0.00140295
18,142.647,0.4965,0.50593,0.89341,0.91165,0.88518,0.97127,0.9063,0.37272,0.78202,0.7954,0.00138644,0.00138644,0.00138644
19,152.712,0.46515,0.51666,0.86492,0.9768,0.66049,0.82968,0.75582,0.56149,1.18689,0.87638,0.00136994,0.00136994,0.00136994
20,162.642,0.44949,0.46127,0.89103,0.79889,0.87802,0.88146,0.69611,0.6209,4.96301,0.92648,0.00135344,0.00135344,0.00135344
21,167.492,0.4945,0.43941,0.87075,0.83119,0.87441,0.87597,0.68903,0.64926,3.21608,0.9498,0.00133693,0.00133693,0.00133693
22,177.384,0.45915,0.38781,0.87863,0.99144,1,0.995,0.89762,0.43464,0.70678,0.81397,0.00132043,0.00132043,0.00132043
23,181.955,0.42169,0.36848,0.84242,0.99253,1,0.995,0.89868,0.44302,0.37052,0.82431,0.00130393,0.00130393,0.00130393
24,191.632,0.46341,0.39901,0.89613,0.98497,1,0.995,0.94012,0.34967,0.41691,0.79052,0.00128742,0.00128742,0.00128742
25,198.476,0.41945,0.37422,0.87797,0.98724,1,0.995,0.93706,0.33921,0.39917,0.79029,0.00127092,0.00127092,0.00127092
26,203.92,0.4073,0.35493,0.86882,0.9953,1,0.995,0.97658,0.29304,0.3387,0.76864,0.00125442,0.00125442,0.00125442
27,214.429,0.40654,0.3371,0.82794,0.99573,1,0.995,0.93596,0.33369,0.33118,0.78195,0.00123791,0.00123791,0.00123791
28,219.798,0.39984,0.32983,0.83,0.99459,1,0.995,0.95599,0.29837,0.29776,0.77282,0.00122141,0.00122141,0.00122141
29,224.694,0.41931,0.34166,0.8572,0.9956,1,0.995,0.9813,0.29825,0.28865,0.77087,0.00120491,0.00120491,0.00120491
30,231.055,0.39705,0.34206,0.85307,0.99613,1,0.995,0.96516,0.29888,0.28318,0.77294,0.0011884,0.0011884,0.0011884
31,240.846,0.36766,0.31614,0.83482,0.99377,1,0.995,0.96403,0.31318,0.28524,0.7721,0.0011719,0.0011719,0.0011719
32,245.324,0.41543,0.33365,0.86666,0.99674,1,0.995,0.97279,0.29415,0.28579,0.77176,0.0011554,0.0011554,0.0011554
33,250.411,0.40786,0.31097,0.85841,0.99565,1,0.995,0.96708,0.2783,0.27357,0.76868,0.00113889,0.00113889,0.00113889
34,260.183,0.36165,0.30326,0.84822,0.99817,1,0.995,0.96278,0.30065,0.25976,0.77084,0.00112239,0.00112239,0.00112239
35,269.927,0.34519,0.28797,0.85666,0.99839,1,0.995,0.96133,0.30216,0.26391,0.76815,0.00110589,0.00110589,0.00110589
36,280.132,0.36095,0.29228,0.84547,0.99836,1,0.995,0.96042,0.31205,0.27288,0.77391,0.00108938,0.00108938,0.00108938
37,289.885,0.36306,0.30519,0.84018,0.99619,1,0.995,0.97321,0.27555,0.2552,0.76426,0.00107288,0.00107288,0.00107288
38,299.618,0.39213,0.33278,0.85522,0.99624,1,0.995,0.9581,0.30068,0.25474,0.77977,0.00105638,0.00105638,0.00105638
39,309.947,0.35652,0.27937,0.84292,0.99557,1,0.995,0.98429,0.27795,0.24456,0.77355,0.00103987,0.00103987,0.00103987
40,321.044,0.3919,0.29869,0.84732,0.99578,1,0.995,0.96536,0.26104,0.22233,0.76225,0.00102337,0.00102337,0.00102337
41,326.341,0.31171,0.27363,0.83391,0.99666,1,0.995,0.98169,0.26625,0.21934,0.76217,0.00100687,0.00100687,0.00100687
42,331.728,0.35057,0.29339,0.85015,0.99631,1,0.995,0.98669,0.24022,0.21991,0.75943,0.000990365,0.000990365,0.000990365
43,342.382,0.33008,0.27431,0.83412,0.99604,1,0.995,0.96235,0.28913,0.23218,0.76991,0.000973861,0.000973861,0.000973861
44,352.367,0.36892,0.27637,0.82008,0.99643,1,0.995,0.98218,0.23905,0.24677,0.75664,0.000957358,0.000957358,0.000957358
45,362.057,0.3597,0.29085,0.83612,0.99605,1,0.995,0.98526,0.21545,0.22518,0.75281,0.000940855,0.000940855,0.000940855
46,366.514,0.34937,0.27757,0.83397,0.99671,1,0.995,0.98564,0.22304,0.21077,0.75371,0.000924352,0.000924352,0.000924352
47,376.39,0.32251,0.27223,0.81145,0.99582,1,0.995,0.98789,0.21421,0.21096,0.75285,0.000907848,0.000907848,0.000907848
48,387.144,0.30678,0.25445,0.80222,0.99759,1,0.995,0.98391,0.24475,0.20102,0.75948,0.000891345,0.000891345,0.000891345
49,391.575,0.34651,0.2688,0.8333,1,1,0.995,0.98051,0.24349,0.21578,0.75712,0.000874842,0.000874842,0.000874842
50,397.071,0.30825,0.2629,0.8259,1,1,0.995,0.98172,0.24764,0.21386,0.75557,0.000858338,0.000858338,0.000858338
51,402.382,0.32265,0.25729,0.80415,1,1,0.995,0.97279,0.26814,0.22121,0.75864,0.000841835,0.000841835,0.000841835
52,407.232,0.32266,0.25513,0.8393,0.99841,1,0.995,0.98642,0.23617,0.20638,0.75621,0.000825332,0.000825332,0.000825332
53,417.484,0.33057,0.24516,0.82859,0.99841,1,0.995,0.98327,0.21158,0.19608,0.75032,0.000808828,0.000808828,0.000808828
54,422.606,0.3008,0.24091,0.82842,0.99842,1,0.995,0.9789,0.21977,0.18981,0.75296,0.000792325,0.000792325,0.000792325
55,432.323,0.33831,0.25106,0.83248,0.99839,1,0.995,0.98042,0.22221,0.18677,0.75386,0.000775822,0.000775822,0.000775822
56,442.417,0.28332,0.24344,0.80263,0.99544,1,0.995,0.995,0.20564,0.20145,0.74804,0.000759318,0.000759318,0.000759318
57,451.734,0.30997,0.24949,0.82655,0.99612,1,0.995,0.995,0.1886,0.18855,0.74832,0.000742815,0.000742815,0.000742815
58,468.027,0.30232,0.23876,0.81391,0.99624,1,0.995,0.99105,0.22842,0.20148,0.75441,0.000726312,0.000726312,0.000726312
59,472.477,0.2917,0.24625,0.82773,0.9961,1,0.995,0.9884,0.21251,0.20198,0.75263,0.000709809,0.000709809,0.000709809
60,476.873,0.30847,0.25311,0.83212,0.99674,1,0.995,0.98861,0.18696,0.18579,0.74919,0.000693305,0.000693305,0.000693305
61,487.293,0.29652,0.24779,0.84168,0.99666,1,0.995,0.9892,0.20751,0.19603,0.75112,0.000676802,0.000676802,0.000676802
62,496.357,0.28211,0.24037,0.79451,0.99677,1,0.995,0.98976,0.21042,0.20062,0.75217,0.000660299,0.000660299,0.000660299
63,505.354,0.27257,0.23551,0.81246,0.99686,1,0.995,0.98916,0.23097,0.20707,0.75514,0.000643795,0.000643795,0.000643795
64,516.047,0.28419,0.22739,0.81588,0.99842,1,0.995,0.98893,0.20459,0.19453,0.75085,0.000627292,0.000627292,0.000627292
65,526.404,0.28196,0.23384,0.82295,0.9984,1,0.995,0.98725,0.18877,0.18524,0.74984,0.000610789,0.000610789,0.000610789
66,534.674,0.29248,0.25107,0.82149,0.99843,1,0.995,0.98978,0.21311,0.19338,0.74996,0.000594286,0.000594286,0.000594286
